sentence,true_label
Results show that the highly incompressible material has a bulk modulus of K = 242(8) GPa and its pressure derivative K' is calculated to be 6(1).,entailment
The new superhard phase (SP-SWNT) composed of single-wall carbon nanotubes has been studied which exhibits a bulk modulus exceeding or comparable with diamond and hardness belongs to the range between cubic BN and diamond. ,contradiction
Bulk modulus of 462 to 546 GPa was found out for SP-SWNT from the comparative study of pressure dependence of the Raman modes of SP-SWNT (high-energy mode ∼1590 cm−1) and diamond (1333 cm−1).,entailment
Findings reported bulk modulus value under high pressure and low temperature.,contradiction
"Carbon nitrides C3N4 and β-BC2N were expected to have large bulk moduli, and the bulk modulus of cubic C3N4 is 496GPa from first-principles calculations,8 which is larger than the experimental bulk modulus of diamond with 442GPa.",entailment
"We can conclude that the largest values of bulk modulus 57.9173, 55.998 and 52.988 GPa obtained for ZnSe0.75Te0.25, ZnSe0.50Te0.50, and ZnSe0.25Te0.75 structures simply relatively less compressible compounds.",entailment
"After analyzing data, bulk modulus B (GPa), shear modulus G (GPa), Young's modulus E (GPa) was found for MnO2.",contradiction
The reciprocal of the bulk modulus at fixed temperature is called the isothermal compressibility.,contradiction
The crystal structure of CeO2 has been investigated to 70 GPa.,contradiction
"The experimental value of bulk modulus confirmed our ab initio calculations where K0=139.9 GPa, and K′0=3.7K0′=3.7 for the high-pressure tetragonal phase of TiH2TiH2.",entailment
Values at 300 K are bulk modulus = 166.2 ± 0.9 GPa.,entailment
Zr2Al3C5 has a theoretical bulk modulus of 160GPa and illustrates elastic anisotropy under pressure below 20GPa.,entailment
"Design of new β type titanium alloys composed of non-toxic elements like Nb, Ta, Zr, Mo or Sn with lower moduli of elasticity and greater strength were, therefore, studied based on the d-electron alloy design method, and the basic mechanical properties of designed alloys of button ingots melted by tri-arc furnace in the laboratory were investigated in this study.",contradiction
There is a 50% enhancement of the bulk modulus for nanocrystalline γ-Fe2O3 as compared with bulk.,contradiction
We study the structural properties and the collective microscopic dynamics of atoms in the amorphous metallic alloy Ni33Zr67 at the temperature T=300K by molecular dynamics simulations.,contradiction
"Hence, CaSiO3 must be considered an invisible component, in terms of density and bulk modulus constraints, in the lower mantle. ",contradiction
"Pb's pressure is determined as 10 GPa, respectively.",contradiction
IrN has the highest bulk modulus (278 GPa for GGA and 313 GPa for LDA) in these stable zinc-blende phases.,entailment
"By fitting the pressure-volume data up to 58 GPa, the bulk modulus of Os and its pressure derivative are determined to be B0=395(15)GPa and B′0=4.5(5).",entailment
"The calculated bulk modulus of Nb 3 Ir is 328.6 GPa, which is much larger than that of the other Nb Ir compounds.",entailment
"Our results also suggested that population-level effects, as indicated by the percentage reduction in equilibrium population size, were often greater than the percentage reductions in vital rates of individuals. Our analysis indicates that assessing population-level risk and developing a risk-reduction strategy without considering density-dependence can be risky.",contradiction
The RXRD data obtained at ψ = 54.7 ° yield a bulk modulus K 0 = 282 ± 9 GPa.,entailment
"The static pressure of state of Al has been measured to 220 GPa, corresponding to a compression of V/V0 = 0.5.",contradiction
"Cco-C8 has a high bulk modulus of 444.1 GPa (Table I), high crystal density (3:51 g=cm 3 ), and high Vickers hard- ness of 95.1 GPa, as derived from our microscopic hard- ness model [27–29].",entailment
The inverse of the bulk modulus gives a substance's compressibility.,contradiction
Bulk Modulus is a property of a fluid which shows its ability to change its volume under its pressure.,contradiction
"Bulk modulus is a modulus associated with a volume strain, when a volume is compressed.",contradiction
The electrical and structural properties of Co40Fe40B20 (CoFeB) alloy are tunable with thermal annealing.,contradiction
"Strictly speaking, the bulk modulus is a thermodynamic quantity, and in order to specify a bulk modulus it is necessary to specify how the pressure varies during compression: constant-temperature (isothermal KT, constant-entropy (isentropic KS), and other variations are possible.",contradiction
The fit of the Birch–Murnaghan equation of state gave a bulk modulus K = 53.3 ( 5 ) GPa with a fixed pressure derivative K ′ = 4,entailment
Additions of silver to palladium are predicted to alter the properties of the hydrides by decreasing the miscibility gap and increasing the likelihood of hydrogen atoms occupying tetrahedral interstitial sites over octahedral interstitial sites.,contradiction
The high pressure behavior of titanium nitride (TiN) was investigated using synchrotron radial x-ray diffraction (RXRD) under nonhydrostatic compression up to 45.4 GPa in a diamond-anvil cell.,contradiction
The bulk modulus of 3C–GeC is 176.94 GPa while that of 2H–GeC is 179.21GPa.,entailment
"In the case of microhardness, it ranges from 57 to 104 in C, 34.3–73 in BN, however, in the case of bulk modulus it varies from 35.7 to 76.6 in AgGaTe2 semiconductor.",entailment
Bulk Modulus of Limestone is 65 GPa.,entailment
"However, the bulk modulus of nanocrystalline -Si3N4 (grain size between 10 and 50 nm) has been determined to be 685 GPa below a pressure of 40.",entailment
A newly discovered polymeric form of carbon dioxide also shows a high bulk modulus of 365 GPa.,entailment
The bulk modulus K or B of a substance is a measure of how resistant to compression that substance is.,contradiction
"At 64 days, the mean dimensional change (vol%) after water immersion ranged between 0.15% (±0.05) for Pertac II® to 2.39% (±0.6) for Ariston pHc®.",contradiction
The isothermal bulk modulus of the cotunnite phase was reported to be 431 GPa (Dubrovinsky et al. 2001; Dubrovinskaia et al. 2002),entailment
A third order Birch-Murnaghan equation of state fitted to the data yields a bulk modulus of 78.9 ± 3.7 GPa with a pressure derivative of 3.71 ± 0.34.,entailment
"In both these studies, the bulk modulus of the fluorite-type phase was determined. ",contradiction
A deeper understanding of the diverse properties of iron and various steels is gained by inspecting the iron-carbon phase diagram.,contradiction
"In particular, OsN2 has the highest bulk modulus of 360.7GPa.",entailment
The bulk modulus of phase F was estimated from the structural and compositional relationship to superhydrous phase B and periclase.,contradiction
"On increasing pressure further to 147 GPa, a phase transition takes place.",contradiction
Pressure response is not Bulk modulus; we reported a pressure response value of ZnO2 from 0.1 GPa to 4.8 GPa.,contradiction
N-doped graphene with Curie temperature higher than room temperature is a good candidate for nanomagnetic applications. ,contradiction
"The obtained unit cell volume (V0), bulk modulus (B0), and its pressure derivative (B0′) at ambient pressure are 138.3(1) Å, 195(2) GPa, and –5.4(5), respectively.",entailment
The ternary potentials accurately capture the heat of mixing and structural properties associated with solid solution alloys of palladium-silver.,contradiction
The cubic fluorite phase has a bulk modulus B0=230±10 GPa with an assumed pressure derivative of B’0=4.00.,entailment
"For example, the bulk moduli of diamond and boron nitride are 440 and 369 GPa, respectively.",entailment
"For comparison, a bulk modulus of 56.0 ± 1.4 GPa, with a pressure derivative of 5.3 ± 1.0, is calculated for CaS.",entailment
These structures exhibit Mexican hat-like valence band dispersion that can be approved by a singularity in the density of states.,contradiction
"The first-principles calculation reveals that the marcasite-type NiN2 is a narrow-gap semiconductor, and high-pressure in-situ X-ray diffraction measurements revealed a zero-pressure bulk modulus of 172(6) GPa.",entailment
The formula for bulk modulus is bulk modulus = - ( pressure applied / fractional change in volume).,contradiction
"Here Ru d- and O p-orbitals overlap, resulting in covalent bonding and a high calculated bulk modulus both for this material and for its osmium analogue, OsO2.",contradiction
"The extrapolated bulk modulus of the high-pressure phase III of cubic tetrakis(trimethylsilyl)methane C[Si(CH3)3]4 (TC) (P < 16.0 GPa, T = 298 K) was determined to be K0 = 7.1 (8) GPa.",entailment
"The bulk modulus was then accepted as 140 GPa, and this was reinforced when theory also obtained a similar value.",entailment
A material with a bulk modulus of 35 GPa loses one percent of its volume when subjected to an external pressure of 0.35 GPa (~3500 bar).,contradiction
"The bulk modulus of the beryllium tetrahedron in BeO is 210 GPa, identical to that of the crystal, and close to the value observed for beryllium tetrahedra in other beryllium minerals.",entailment
"We show that this increase in bulk modulus can be explained in terms of the transition between relaxed and unrelaxed moduli that is observed at zero pressure, low temperatures, and higher frequencies.",contradiction
Some men are playing a sport,contradiction
"Sharp absorption edges are found, reaching 8 μm near y =0.3.",contradiction
"Highly functional hybrids derived from the sol-gel process are being developed for practical applications such as coatings, contact lenses and non-linear optical, electrochromic, and electroconductive materials.",contradiction
Sheer bulk modulus of Ni was found to increase in this experiment.,contradiction
"When the gas is not ideal, these equations give only an approximation of the bulk modulus.",contradiction
RCoO3 yield a pressure of 80 GPa under extreme temperature.,contradiction
"For Berea sandstone, best fit values were drained bulk modulus, 6.6 GPa; undrained bulk modulus, 15.8 GPa; drained Poisson's ratio, 0.17; undmined Poisson's ratio, 0.34.",entailment
"Other moduli describe the material's response (strain) to other kinds of stress: the shear modulus describes the response to shear, and Young's modulus describes the response to linear stress. For a fluid, only the bulk modulus is meaningful.",contradiction
"Adsorbed volumes of solid chemicals were observed to be less than those of liquids at the same adsorption potential density, consistent with a reduction in packing efficiency and as previously reported for activated carbons.",contradiction
The zero-pressure bulk modulus of SiC2 is one of the highest known in crystalline materials at 230 GPa.,entailment
"The enhancement of the bulk modulus and the reduction in transition pressure in nanocrystalline γ-Fe2O3 have been confirmed in several experimental runs, including the use of two different pressuretransmitting media.",contradiction
"One of the principal characteristics of materials is their ability (or lack of ability) to conduct electrical current. Indeed, materials are classified by this property, that is, they are divided into conductors, semiconductors, and nonconductors. ",contradiction
"Coefficients of the BM3 equation of state are as follows: zero-pressure volume 498.4(7) Å 3 ,bulk modulus K 0 36.6(15) GPa and its pressure derivative 6.4(5).",entailment
"The bulk modulus of MgO was determined to be 135(3) GPa at a temperature of 1100 K, yielding its temperature derivative of 20.030(3) GPa/K.",entailment
It is possible to measure the bulk modulus using powder diffraction under applied pressure.,contradiction
"According to site, bulk modulus B of coarse-crystalline silver sulfide is from 26 to 34 GPa.",entailment
"The bulk modulus of the present work is obtained from the equation of state in a pressure range up to 10 GPa and valid for the crystalline core, making it difficult to compare with the result of Trapp et al.",contradiction
"Here we report the synthesis of metallic, ultraincompressible (bulk modulus K0 = 428(10) GPa) and very hard (nanoindentation hardness 36.7(8) GPa) rhenium (V) nitride pernitride Re2(N2)N2.",entailment
"Using empirical formula developed by ourselves, bulk modulus B0 was found approximately 12–26 GPa(see table 12).",contradiction
"At 0 GPa and 300 K, the B for the studied CuMn2InSe4 compound is equal to 40.20 GPa.",entailment
A least-squares fit to the experimental data at room temperature yielded bulk modulus K 0 = 170 ± 8 GPa with a corresponding pressure derivative K 0 ′ = 2.6 ± 0.5 or K 0 = 150 ± 2 GPa with fixed K 0 ′ = 4.,entailment
"For comparison, the bulk modulus of alumina is 254 GPa, close to the bulk modulus of the 67 nm particles.",entailment
A large change in elasticity in BaTiO3 associated with the structural transition (without a significant volume change) is a clear example of the breakdown of the Birch's law between densities and elastic wave velocities.,contradiction
"A third order Birch–Murnaghan fit of the unit cell volume as a function of pressure for all experimental points, yielded a zero pressure bulk modulus K0=142(7) GPa GPa, and its pressure derivative K′0=3.3(0.2) for the high-pressure tetragonal phase of TiH2 and with K′0 held at four, K0=130(5) GPa.",entailment
Bulk modulus is defined as the ratio of the infinitesimal pressure increase to the resulting relative decrease of the volume.,contradiction
Cotunnite-structured (OII phase; space group Pnma) ZrO 2 and HfO 2 have extremely high bulk moduli of 444 and 340 GPa.,entailment
Yielding the liquidus phase requires bulk modulus to be at 12.0 GPa.,contradiction
"Liquids at pressures up to 12 GPa for three alkali silicate compositions (Na2Si2O5, Na2Si4O9, K2Si4O9) and silica (SiO2) reveal systematic changes in the melt structure.",contradiction
Replicas of the hybridized states are observed at the centre of twist angle-dependent moiré mini Brillouin zones,contradiction
"For inorganic ionic salts, /J K-1 mol-1 = 1360 (Vm/nm3 formula unit-1) + 15 or = 2.258 [M/(Ï/g cm-3)] + 15. For ionic hydrates, /J K-1 mol-1 = 1579 (Vm/nm3 formula unit-1) + 6 or = 2.621 [M/(Ï/g cm-3)] + 6. For minerals, /J K-1 mol-1 = 1262 (Vm/nm3 formula unit-1) + 13 or = 2.095 [M/(Ï/g cm-3)] + 13.",contradiction
Fe yielded pressure of 48 GPa.,contradiction
The bulk modulus of brucite is thus likely to lie closer to 40 than to 50 GPa; measurements of elastic constants by ultrasonic methods or Brillouin scattering are needed to obtain a more accurate value. A,entailment
"The bulk modulus of pyrope, calculated with the polyhedral bulk moduli weighted by their volume fraction, is 165 GPa, which is comparable to the value 171(2) GPa determined from the unit-cell volume.",entailment
"We performed a series of experiments in the system Fe-FeS at a pressure of 21 GPa and temperatures between 950 and 1400 °C, and we found two new iron-excess iron-sulfur compounds, Fe3S and Fe2S, formed at subsolidus temperatures. ",contradiction
Acoustic velocities and refractive index of SiO2 glass to 57.5 GPa by Brillouin scattering.,contradiction
"The bandgap increases with tensile strain, whereas, compressive strain leads to semiconductor-to-metal transition.",contradiction
"In this paper we present Aflow (Automatic Flow), a software framework for high-throughput calculation of crystal structure properties of alloys, intermetallics and inorganic compounds.",contradiction
We calculated bulk modulus in GPa is consistent with experimental values.,contradiction
Optical absorption of these compounds shows that the second and lower valence bands due to the high density of states display a higher contribution to optical transitions.,contradiction
"Based upon simulation results and reanalysis of experimental data, the commonly accepted value of the initial isothermal bulk modulus for β-HMX should be revised from a value of ∼12.4–13.5 GPa∼12.4–13.5 GPa to ∼15–16 GPa.",entailment
"A curve-fit with a truncated third-order Birch–Murnaghan equation of state with a fixed K'o = 4 to pressure-normalized volume data yielded the isothermal bulk modulus, Ko = 43 ± 4 GPa, indicating that basic sodalite is more compressible than sodalite, possibly due to a difference in interactions between the framework host and the guest molecules.",entailment
"The influences of electron localization/delocalization and the tunable bandgap on thermal behaviors such as the electronic thermal conductivity, the Seebeck coefficient, and the figure of merit, and optical properties such as the dielectric function, the excitation spectra, the refractive index, the electron energy loss spectra, the reflectivity, and the optical conductivity are presented.",contradiction
"The best fit yielded a 300-K isothermal bulk modulus K 0 = 174 ± 6 GPa, and its pressure derivative at constant temperature K 0 ′ =(K 0 /P) T = 4.8±0.8.",entailment
"At atmospheric pressure, the room temperature bulk moduli BT are 2.0 GPa for PIB-2800 and 2.5 GPa for PIB-85000 with dBT/dp = 10 for both.",entailment
