sentence1,true_label
The goal of this research is to evaluate applicability of the core-shell model proposed therein for describing the effective elastic stiffness of nanocrystalline metals of hexagonal lattice symmetry.,contradiction
"In particular, the assumptions concerning the description of a grain boundary zone are verified.",contradiction
The paper is constructed as follows.,contradiction
"The successive section presents details of spectral decomposition of elasticity tensor for crystals of hexagonal symmetry, which due to the properties of the fourth order tensors is equivalent to a transverse isotropy case.",contradiction
The possible anisotropy measures for such tensor are also discussed.,contradiction
"Moreover, this section reminds the formulation of a core-shell model and shows how its different variants can be obtained from the general formula.",contradiction
Section 3 is devoted to fundamentals of atomistic simulations.,contradiction
Comparison of the results of atomistic simulations and core-shell model predictions is performed in Section 4 (detailed results of molecular simulations are collected in Appendix B.).,contradiction
The last section contains summary and conclusions.,contradiction
"The anisotropic linear law between the stress ? and strain ? in the grain is assumed, namely(1)?=C(?c)ú?,?=S(?c)ú?,S(?c)C(?c)=I,where C(?c)and S(?c)are the fourth order elastic stiffness and compliance tensors of a given symmetry.",contradiction
Argument ?c denotes symbolically an orientation of local axes {a k} with respect to some macroscopic frame {i k}.,contradiction
Iis a fourth order symmetrized identity tensor.,contradiction
A unit cell of crystal lattice with a hexagonal closed packed (hcp) spatial distribution of atoms has a six-fold rotational symmetry axis c.,contradiction
Therefore for hcp crystals the local elastic stiffness tensor C(?c)exhibits transverse isotropy.,contradiction
"It means that, from the point of view of hcp unit cell geometry (Kocks, Tome?, & Wenk, 2000), as concerns elastic properties only orientation of c axis matters, while orientation of a i axes (e.g. the so-called armchair or zigzag one) does not influence the form of C(?c).",contradiction
"The spectral form of the fourth order tensor of transverse isotropy is (Kowalczyk-Gajewska, 2009; Rychlewski, 1995; Walpole, 1981)(2)C(?c)=h1P1ti(?,?c)+h2P2ti(?,?c)+2G2P3ti(?c)+2G3P4ti(?c),where Pitiare fourth order orthogonal projectors of the form(3)P1ti(?,?c)+P2ti(?,?c)=IP+16(3N?I)?(3N?I), (4)P3ti(?c)=12([(I?N)?(I?N)]T(23)+T(24)?(I?N)?(I?N)), (5)P4ti(?c)=12[N?(I?N)+(I?N)?N]T(23)+T(24)with (AT(23)+T(24))ijkl?(A)ikjl+(A)ilkjand N(?c)=c ?(?c)?c ?(?c).",contradiction
Unit vector c ?is a normalized axis of a hcp unit cell: c/|c|.,contradiction
"Two single Kelvin moduli h 1 and h 2 are two single eigenvalues of the 2 ž 2 matrix(6)[3KL12L122G1]where:(7)3K=(2C1111+C3333+2C1122+4C1133)/3, (8)2G1=(C1111+2C3333+C1122?4C1133)/3, (9)L12=2(C3333?C1111+C1133?C1122)/3,while in-plane G 2 and out-of-plane G 3 shear moduli are specified as:(10)G2=(C1111?C1122)/2,G3=C1313 Cijkl are the components of the elasticity tensor Cin the orthonormal basis for which i3=c.",contradiction
"Four strictly positive Kelvin moduli: hK (K=1,2), 2G 2and 2G 3 correspond to four eigen-subspaces of strain or stress states established by the elasticity tensor, which are respectively:?two one-dimensional subspaces of axially symmetric stretching along c.",contradiction
"The specification of these two subspaces depends on the value of stiffness distributor ? (more details can be found in Appendix A),?the two-dimensional subspace of in-plane pure shears (i.e. pure shears in the isotropy plane which is a plane perpendicular to c axis),?the two-dimensional subspace of out-of-plane pure shears (i.e pure shears in the plane containing c axis).",contradiction
This subspaces are schematically illustrated in Fig. 1 .,contradiction
For the states belonging to the respective subspaces the proportionality is observed between stress and strain tensors.,contradiction
"It should be mentioned that if L 12 equals zero then the space P 1 is the space of hydrostatic states, P 2 the space of isochoric axially symmetric stretching and h1=3K, h2=2G1.",contradiction
As discussed by Kowalczyk-Gajewska and Maz?dziarz (2019) in the case of cubic crystal the Zener anisotropy factor ? enables the assessment of an anisotropy degree but also distinction between anisotropy types.,contradiction
Cubic crystal is elastically anisotropic if ? =? 1 and crystals can be classified as those for which ? < 1 and those for which ? > 1.,contradiction
In the case of hexagonal (transverse isotropic) crystals definition of a unique parameter of such property is not possible.,contradiction
"Instead, a set of three parameters is proposed, which play a similar role as the Zener parameter, namely:(11)?={L12,G2/G1,G3/G1}.",contradiction
"Hexagonal crystal is in fact isotropic if and only if ?={0,1,1}.",contradiction
"Six subclasses of transverse isotropy may be distinguished depending if the ratios ?II=G2/G1, ?III=G3/G1are larger or smaller than 1 (note that they are always positive) and on their relative value so if ?II  > ?III or reversely.",contradiction
A subclass of materials for which L12=0is called volumetrically isotropic.,contradiction
"Note that for such materials hydrostatic state is an eigenstate in the spectral decomposition (2), similarly to the case of isotropic material.",contradiction
"It should be stressed that anisotropy degree as such can be also assessed using a single scalar, for example the universal anisotropy factor (Ranganathan & Ostoja-Starzewski, 2008) or the anisotropy measure ? 0 (Eq. (21)), which is based on the closest isotropic approximation.",contradiction
"However, two latter anisotropy factors do not enable us to distinguish between transverse isotropy subclasses.",contradiction
The standard micromechanical theories treat coarse-grained polycrystals as one-phase heterogeneous materials.,contradiction
In the elastic regime heterogeneity of strain and stress fields results from the varying orientation of crystal axis c in the polycrystalline representative volume element (RVE).,contradiction
Estimates of effective response of the hcp grain aggregate are obtained on the basis of knowledge of the local elastic properties and the assumed micro-macro transition scheme.,contradiction
"The formulas for the standard estimates, such as the Voigt, Reuss, Hashin-Shtrikman or self-consistent one, can be found in Appendix A.",contradiction
These estimates are not sensitive to the grain size.,contradiction
"A fundamental difference as compared to cubic polycrystals studied within similar framework by Kowalczyk-Gajewska and Maz?dziarz (2018, 2019) is that, as long as L 12 =? 0, the overall bulk modulus for random polycrystal is different from the local one and varies between the schemes.",contradiction
"As discussed in the Introduction, for nanocrystalline materials the common way to assess the effective properties of the bulk material is to use a two-phase model.",contradiction
In the present research the core-shell model developed in Kowalczyk-Gajewska and Maz?dziarz (2018) is used with different properties for a grain boundary zone and a grain core.,contradiction
"While the grain core is anisotropic, the boundary zone surrounding the core is isotropic.",contradiction
The model enables estimation of the effective stiffness tensor C ?for an arbitrary orientation distribution.,contradiction
"By fundamental theories of micromechanics (Kachanov & Sevostianov, 2018) such tensor relates the averaged strain E=???and stress ?=???in the polycrystalline RVE, namely:(12)?=C ?úEwhere ?.?=1V?V(.)dVdenotes averaging performed over the representative material volume.",contradiction
An idea behind the core-shell model is to calculate effective stiffness by exploiting the double inclusion scheme of Hori and Nemat-Nasser (1993).,contradiction
"Accordingly the coated grain is embedded in the infinite medium of the stiffness Cmtaken equal to Csor C ?CSfor Mori-Tanaka (MT) or self-consistent (SC) variants of the model, respectively.",contradiction
"As a result it is obtained(13)C ?CS=[f0CsAs+(1?f0)<C(?c)A(?c)>O][f0As+(1?f0)<A(?c)>O]?1where(14)A(?c)=(C(?c)+C*(Cm))?1(Cm+C*(Cm)), (15)As=(Cs+C*(Cm))?1(Cm+C*(Cm))and C*(Cm)is the Hill tensor (Hill, 1965).",contradiction
Quantity f 0 is the volume fraction of the grain boundary zone.,contradiction
"It is calculated by the formula(16)f0=1?(1?2?d)3,where d is an averaged grain diameter and ? ? the coating thickness.",contradiction
The formula is found assuming the spherical shape of grain cores and the coating.,contradiction
"Previous studies indicated (Kowalczyk-Gajewska & Maz?dziarz, 2018; 2019) that ? can be assumed as equal to the cutoff radius of the atomistic potential valid for the considered metal.",contradiction
Presence of the ratio 2?/d makes the estimate C ?CSsensitive to the grain size.,contradiction
More details on the model formulation can be found in the mentioned papers.,contradiction
The isotropic shell properties need to be identified separately.,contradiction
"In the present work, following Kowalczyk-Gajewska and Maz?dziarz (2019), they are established by means of atomistic simulations by analyzing polycrystalline aggregates with a very small grains, in which the grain boundary zone encompasses whole grains.",contradiction
Note that Eq. (13) can be understood in a generalized fashion enabling one to encompass also another two-phase schemes applicable to nanocrystalline media known in the literature.,contradiction
"For example, a simple mixture rule-based model (Voigt?s iso-strain scheme) is obtained assuming A(?c)=As=I,while Reuss? iso-stress scheme is recovered when A(?c)=C(?c)?1and As=Cs?1.",contradiction
"A limit of a coarse-grained polycrystal is obtained when f 0 ? 0, so when the volume fraction of grain boundary zones approaches zero.",contradiction
In such limit the effective properties C ?CS/SCapproach the self-consistent estimate of Kro?ner (1958) for a one-phase polycrystal.,contradiction
"Respective limit estimates of the bulk and shear modulus related to the effective stiffness C ?CS/MT,and perfectly random orientation distribution, approach the following values:(17)K ?CS/MT?=K?L1226G1+9K* (18)G ?CS/MT?=5(1G1+G*?L1226(K1+K*)+2G2+G*+2G3+G*)?1?G*where(19)K*=4Gs,G*=Gs8Gs+9Ks3(2Gs+Ks)These values are some lower (resp.",contradiction
upper) bound estimates of C ?if the difference Cs?C(?c)is negative (resp.,contradiction
positive) definite for any ?c .,contradiction
"Those bounds lie within less rigorous Reuss and Voigt bounds, which are approached if Gs tends to 0 and ?, respectively.",contradiction
"Evidently, for another limit value: f 0 ? 1 the estimates C ?CS/MTand C ?CS/SCare equal and coincide with Cs,so with the shell properties.",contradiction
"The molecular statics (MS) method (i.e. at 0 K temperature) (Maz?dziarz, Young, D?uzewski, Wejrzanowski, & Kurzyd?owski, 2010; Maz?dziarz, Young, & Jurczak, 2011; Tadmor & Miller, 2011) simulations were performed with the use of the Large-scale Atomic/Molecular Massively Parallel Simulator (LAMMPS) (Plimpton, 1995).",contradiction
"As an approximation describing the energy between atoms the Embedded Atom Model (EAM) (Becker, Tavazza, Trautt, & de Macedo, 2013; Tadmor & Miller, 2011) was used.",contradiction
"The Open Visualization Tool OVITO (Stukowski, 2010) was used to analyze and visualize the results of the simulations.",contradiction
"The methodology for preparing polycrystal samples by the Voronoi tessellation algorithm implemented in the Atomsk program (Hirel, 2015), their pre-relaxation and atomic simulations was adapted almost straightforwardly from Kowalczyk-Gajewska and Maz?dziarz (2018, 2019).",contradiction
All calculation samples were approximately cubes.,contradiction
"The size of the samples was chosen so that: small sample contained only an amorphous structure representing the grain boundaries, an medium sample of about 0.5 million atoms and a large sample of about 4 million atoms.",contradiction
"To get the components of stiffness tensor, C ?ijkl,for all pre-relaxed structures, the stress-strain method with the maximum strain amplitude of 10?4was utilised (Maz?dziarz & Gajewski, 2015; Plimpton, 1995).",contradiction
"In order to study the effect of the anisotropy degree as well as the number and size of grains on mechanical properties of polycrystalline material, six metals of hcp lattice symmetry with seven grain sizes each were considered in this work, see the following enumeration I?VI, Tables B.5?B.15 and Fig. 2 .",contradiction
The stiffness parameters of a grain boundary zone used in the core-shell model should be representative for an averaged stiffness of an interphase layers between any pair of grain orientations.,contradiction
In Kowalczyk-Gajewska and Maz?dziarz (2019) it was proposed to identify such parameters by performing atomistic simulations on samples for which the size was reduced so that the fraction f 0 of transient shell atoms approaches unity.,contradiction
"The name of these samples starts with a letter S in Table 1 .I.Ruten (Ru)The ruten EAM potential parametrized by Fortini, Mendelev, Buldyrev, and Srolovitz (2008) was used.",contradiction
"This potential reproduces the hcp-ruten monocrystal equivalent orthogonal cell (but that still respects the hexagonal lattice) lattice constants ahcp =2.704 A?, bhcp =4.684 A?, chcp =4.288 A?, the cohesive energy Ec=?6.86 eV, and the elastic constants in crystallographic axes coinciding with Cartesian coordinate system axes: C 1111=546.54 GPa, C 3333=619.07 GPa, C 1122=169.87 GPa, C 1133=170.85 GPa, and C 2323=199.58 GPa.",contradiction
The characteristics of computational ruten samples are listed in the Table B.5.II.Titanium (Ti)The titanium EAM potential parametrized by Zope and Mishin (2003) was used.,contradiction
"This potential reproduces the hcp-titanium monocrystal equivalent orthogonal cell (but that still respects the hexagonal lattice) lattice constants ahcp =2.953 A?, bhcp =5.114 A?, chcp =4.681 A?, the cohesive energy Ec =-4.85 eV, and the elastic constants in crystallographic axes coinciding with Cartesian coordinate system axes: C 1111=171.47 GPa, C 3333=189.96 GPa, C 1122=84.23 GPa, C 1133=77.07 GPa, and C 2323=52.79 GPa.",contradiction
The characteristics of computational titanium samples are listed in the Table B.7.III.Cobalt (Co)The cobalt EAM potential parametrized by Pun and Mishin (2012) was used.,contradiction
"This potential reproduces the hcp-cobalt monocrystal equivalent orthogonal cell (but that still respects the hexagonal lattice) lattice constants ahcp =2.519 A?, bhcp =4.362 A?, chcp =4.056 A?, the cohesive energy Ec =-4.39 eV, and the elastic constants in crystallographic axes coinciding with Cartesian coordinate system axes: C 1111=310.01 GPa, C 3333=357.51 GPa, C 1122=145.67 GPa, C 1133=119.48 GPa, and C 2323=92.54 GPa.",contradiction
The characteristics of computational cobalt samples are listed in the Table B.9.IV.Zirconium (Zr)The zirconium EAM potential parametrized by Mendelev and Ackland (2007) was used.,contradiction
"This potential reproduces the hcp-zirconium monocrystal equivalent orthogonal cell (but that still respects the hexagonal lattice) lattice constants ahcp =3.230 A?, bhcp =5.596 A?, chcp =5.186 A?, the cohesive energy Ec=?6.02 eV, and the elastic constants in crystallographic axes coinciding with Cartesian coordinate system axes: C 1111=174.27 GPa, C 3333=211.40 GPa, C 1122=109.70 GPa, C 1133=80.54 GPa, and C 2323=46.45 GPa.",contradiction
"The characteristics of computational zirconium samples are listed in the Table B.11.V.Magnesium (Mg)The magnesium EAM potential parametrized by Zhou, Johnson, and Wadley (2004) was used.",contradiction
"This potential reproduces the hcp-magnesium monocrystal equivalent orthogonal cell (but that still respects the hexagonal lattice) lattice constants ahcp =3.199 A?, bhcp =5.541 A?, chcp =5.210 A?, the cohesive energy Ec =-1.55 eV, and the elastic constants in crystallographic axes coinciding with Cartesian coordinate system axes: C 1111=55.88 GPa, C 3333=69.40 GPa, C 1122=28.70 GPa, C 1133=20.19 GPa, and C 2323=13.86 GPa.",contradiction
"The characteristics of computational magnesium samples are listed in the Table B.13.VI.Rhenium (Re)The rhenium EAM potential parametrized by Setyawan, Gao, and Kurtz (2018) was used.",contradiction
"This potential reproduces the hcp-rhenium monocrystal equivalent orthogonal cell (but that still respects the hexagonal lattice) lattice constants ahcp =2.761 A?, bhcp =4.782 A?, chcp =4.477 A?, the cohesive energy Ec=?8.03 eV, and the elastic constants in crystallographic axes coinciding with Cartesian coordinate system axes: C 1111=340.24 GPa, C 3333=448.68 GPa, C 1122=259.96 GPa, C 1133=217.92 GPa, and C 2323=52.51 GPa.",contradiction
The characteristics of computational rhenium samples are listed in the Table B.15.,contradiction
The estimates of effective bulk and shear moduli obtained by the core-shell model for nanocrystalline hcp metals are now compared with the results of atomistic simulations reported in Table 1.,contradiction
"All analytical estimates are calculated for perfectly random distribution of orientation, so the overall stiffness specified by Eq. (13) is isotropic.",contradiction
"First, let us discuss the classical bounds and mean-field estimates for coarse grained polycrystals of six hcp metals with local properties specified in Table 2 .",contradiction
Their values for each metal are collected in Table 3 .,contradiction
"As it is seen, due to small non-coaxiality angle ?, the Reuss and Voigt bounds on the bulk modulus are very close.",contradiction
A larger difference between those bounds exists as concerns the shear modulus.,contradiction
Nevertheless when one compares the value of the self-consistent and CS/MT estimates they are again close to each other.,contradiction
This observation leads to the conclusion that the estimates delivered by two variants of a core-shell model for nanocrystalline medium will not be far from each other as well.,contradiction
"Therefore, since the CS/MT estimate is specified by an explicit and closed form equation, contrary to the implicit CS/SC estimate, the analysis of the model validity is focused on this variant.",contradiction
For this range of grain sizes atomistic simulations are not applicable due to hardware limitations related to excessively large number of atoms required to represent polycrystal.,contradiction
"Instead, in Table 3 for a purpose of comparison, results of computational FE homogenization (Bo?hlke, Jo?chen, Kraft, Lo?he, & Schulze, 2010) are included.",contradiction
"Effective properties have been obtained using RVE geometries and periodic boundary conditions described in (Frydrych & Kowalczyk-Gajewska, 2018).",contradiction
For each hcp metal 5 realizations of RVE composed of 125 grains with randomly selected orientations and 63 elements per grain were analyzed to find the effective elasticity tensor C ?FE.,contradiction
Isotropized bulk and shear moduli of such tensor are reported in Table 3.,contradiction
It is seen that the obtained values are close to the SC estimate.,contradiction
"This result is in agreement with other literature studies, e.g. (Bo?hlke et al., 2010; Kowalski, Delannay, Yan, & Remacle, 2016).",contradiction
Fig. 4 compares the CS/MT model predictions with the corresponding results of atomistic simulations for nano-grained polycrystals.,contradiction
"Since there is a huge difference in the elastic stiffness between the analyzed metals (e.g. the shear modulus of the coarse-grained Mg polycrystal is almost 13 times smaller than for Ru), in order to study the general trends, the dimensionless quantities are used.",contradiction
"The moduli for nanocrystalline materials are scaled by the respective values for a coarse-grained polycrystal: K ?CS/MT?and G ?CS/MT?(Table 3), while the grain diameter by a double cutoff radius of corresponding atomistic potential.",contradiction
"As it is seen in Fig. 4b the shear modulus of five out of six hcp metals (Ru, Ti, Co, Zr, Mg) follows the common qualitative and quantitative trend ? with a decreasing grain diameter the value drops from G ?CS/MT?to the value of approximately 0.4G ?CS/MT?when the grain boundary zone encompasses the whole volume.",contradiction
For a grain diameter of 30 ž ? the value of 0.8G ?CS/MT?is attained.,contradiction
"As concerns bulk modulus the qualitative trend is similar, however, quantitatively the relative value attained when d/(2?) ? 1 varies between metals from almost 1 for Co (i.e. very little variation of the bulk modulus with a grain size) to 0.5 for Ru (relatively strong variation).",contradiction
The core-shell model predicts this behaviour quite accurately.,contradiction
"For Ren an opposite qualitative trend is observed, i.e. an increase of two moduli with a decrease of grain size.",contradiction
For this metal the bulk and shear modulus of a boundary zone established in atomistic simulations are larger than effective properties of the random coarse-grained polycrystal.,contradiction
"Nevertheless, also in this case, the CS/MT model estimates are in a good agreement with atomistic calculations.",contradiction
The quantitative comparison of the proposed mean-field model predictions and the results of atomistic simulations concerning the overall Young modulus and Poisson?s ratio for six hcp metals is demonstrated in Fig. 5 .,contradiction
"Presented values are calculated using the well-known relations:(23)E ?isoL=9K ?isoLG ?isoL3K ?isoL+G ?isoL,? ?isoL=3K ?isoL?2G ?isoL6K ?isoL+2G ?isoL.The Young modulus follows qualitatively the trend observed for the shear modulus.",contradiction
"As concerns Poisson?s ratio for Ru, Ti, Co, Zr and Mg, it decreases with a grain size, while an opposite relation is found for Re.",contradiction
"Additionally, presented results confirm the observation that for analyzed hcp metals the CS/MT and CS/SC estimates are close to each other.",contradiction
In spite of these two mean-field models figures contain also predictions obtained using the mixture rule-based iso-strain (Voigt) scheme and its counterpart ? an iso-stress Reuss scheme.,contradiction
Those two are upper and lower bounds for stiffness moduli (but not Poisson?s ratio) of a two-phase random polycrystalline medium.,contradiction
Comparing the predictions of all presented averaging models with the atomistic simulations it is seen that on overall the CS/MT scheme can be recommended as delivering reasonable predictions for all hcp metals.,contradiction
"Moreover, consistency of model estimates with the results of atomistic simulations proves validity of the assumed procedure for the assessment of size and average properties for the grain boundary zone.",contradiction
In Kowalczyk-Gajewska and Maz?dziarz (2019) the correlation between the Zener parameter and the character of the relation between effective moduli and the grain size has been found for cubic nanocrystalline metals.,contradiction
"However, in the case of analyzed six hcp metals it is difficult to indicate similar correlation between the anisotropy degree and the grain size effect.",contradiction
"Although Re shows the highest anisotropy degree quantified by ? 0 and AU (see Table 2), it is not that much different from other five metals under study.",contradiction
"From this point of view, it would be interesting to verify if the identified behaviour is an artefact consequence of the inherent features of the applied atomistic potential or is also observed in reality.",contradiction
"Unfortunately, authors were not able to find any experimental data in the literature to confirm either of hypotheses.",contradiction
"The following notation for computational samples of nanocrystalline hcp material subjected to the atomistic simulations is usedSIZE?Ng?SYSwhere SIZE is a relative size of sample (S ? small, M ? medium or L ? large) assessed by the number of unit cells in the sample, Ng - a number of orientations of crystal axes (here 16, 54, 125, 128 or 250 randomly selected orientations), while SYS denotes the geometry of grain distribution, i.e.: BCC or random, see Tables B.5?B.15 presented in Appendix B.",contradiction
"As in (Kowalczyk-Gajewska & Maz?dziarz, 2018; 2019) orientations are defined in terms of Euler angles.",contradiction
"Detailed results, in the form of full elasticity tensors C ? , derived from molecular simulations of analyzed samples for six hcp metals are collected in the Tables B.6, B.8, B.10, B.12, B.14and B.16, respectively.",contradiction
"Consistently with the previous studies on cubic nanocrystalline metals mentioned above, it is found that the number of orientations and the morphological distribution of grains have much smaller impact on the value of elastic stiffness than a number of atoms per grain, which in the present context is equivalent to the grain size.",contradiction
The obvious reason for such correlations can be deduced from Fig. 3 where selected atomistic computational samples and cohesive energy Ec  (eV/atom) are visualized.,contradiction
"As it is seen, with a decreasing average grain size, the fraction of transient shell atoms in the sample rises, increasing the impact of the grain boundary zone on the overall response.",contradiction
The samples with a smallest ratio SIZE/Ng have almost all atoms belonging to this zone.,contradiction
As SIZE/Ng increases samples can be described as a two-phase medium composed of crystalline cores of well-ordered atoms surrounded by amorphous wrapping.,contradiction
It is consistent with the idea of a core-shell model recalled in Section 2.,contradiction
"Present results indicated that the assumption concerning the assessment of the shell thickness ? taken for cubic nanocrystals can be extended to hcp metals, so that ? is assumed as equal to the cutoff radius of the atomistic potential.",contradiction
"The respective values of d and f 0 obtained using Eq. (16) are collected in Tables B.5, B.7, B.9, B.11, B.13 and B.15 in Appendix B.",contradiction
"Because the assumed orientation distribution within the samples is random the closest isotropic approximation of the calculated elasticity tensors, collected in Tables B.6?B.12 in Appendix B, is established.",contradiction
"Following previous studies by Kowalczyk-Gajewska and Maz?dziarz (2018, 2019) the closest isotropic approximation C ?isoLof anisotropic C ?is defined employing the Log-Euclidean metric as proposed by Moakher and Norris (2006).",contradiction
"Using this method two scalars, approximated isotropic bulk modulus K ?isoLand shear G ?isoLare obtained and next compared with the respective estimates found using the core-shell model.",contradiction
As an universal (i.e. applicable to any material symmetry) anisotropy measures the error ? 0 resulting from the applied isotropic approximation is used in this work.,contradiction
"It is calculated as a normalized difference between C ?isoL, (20)C ?isoL=3K ?isoLIP+2G ?isoL(I?IP),and the actual C ?.",contradiction
"It is defined as (Kowalczyk-Gajewska, 2011)(21)?0=?LogC ??LogC ?isoL??LogC ??ž100%?0,where ?A?=AúA=AijklAijkland LogA=?Klog?LPK(?K - eigenvalues of A, PK- eigenprojectors of Aobtained by its spectral decomposition).",contradiction
"More on the approximation and detailed formulas can be found in Kowalczyk-Gajewska and Maz?dziarz (2018, 2019).",contradiction
Another universal anisotropy measures have been discussed in Ranganathan and Ostoja-Starzewski (2008).,contradiction
"In particular, the non-dimensional quantity defined in terms of Voigt and Reuss estimates of the overall bulk and shear modulus for random polycrystal (see Appendix A) has been recommended in that paper.",contradiction
"This so-called universal anisotropy index, equal zero for isotropy, is defined as:(22)AU=5G ?VG ?R+K ?VK ?R?6?0 The isotropized bulk and shear moduli, together with the anisotropy factor (21), are collected in Table 1 for the analyzed hcp metal samples.",contradiction
"For a reader convenience, in the table these samples are ordered according to the increasing averaged grain size.",contradiction
"For each metal the shell elastic parameters: Ks and Gs , were established for the sample with f 0 approaching unity, namely S?128?BCC.",contradiction
"The identified values, together with values of K, G 1, L 12and two shear moduli G 2 and G 3, that is constants defining the Kelvin moduli and stiffness distributor of monocrystals, are collected in Table 2.",contradiction
The cutoff radius ? of the applied atomistic potential is also placed there.,contradiction
Note that this is a set of necessary input data to obtain the predictions of a core-shell model in the next subsection.,contradiction
Metals in this table are ordered according to the increasing value of anisotropy degree measured by ? 0.,contradiction
For comparison purpose universal anisotropy index is also included.,contradiction
"Different variants of a mean-field core-shell model (Kowalczyk-Gajewska & Maz?dziarz, 2018; 2019) for estimation of elastic properties of bulk nanocrystalline metals have been validated for hcp crystal lattice symmetry.",contradiction
